('r', 'd', 'v') 106
('v', 'uj', 'n') 98
('n', 'uj', 'n') 97
('x', 'x', 'x') 92
('v', 'r', 'v') 83
('uj', 'n', 'v') 81
('d', 'v', 'v') 72
('r', 'v', 'v') 71
('v', 'v', 'v') 69
('v', 'v', 'n') 67
('n', 'd', 'v') 65
('d', 'd', 'v') 63
('r', 'uj', 'n') 61
('v', 'v', 'r') 61
('d', 'v', 'r') 60
('v', 'n', 'v') 57
('uj', 'n', 'd') 55
('d', 'v', 'n') 54
('v', 'n', 'uj') 54
('n', 'v', 'v') 52
('v', 'd', 'v') 47
('r', 'v', 'r') 45
('v', 'r', 'uj') 43
('n', 'v', 'r') 40
('c', 'r', 'd') 40
('a', 'uj', 'n') 40
('v', 'r', 'd') 39
('v', 'ul', 'm') 38
('v', 'v', 'uj') 38
('n', 'v', 'n') 38
('v', 'r', 'n') 37
('v', 'm', 'n') 36
('d', 'v', 'ul') 36
('r', 'v', 'n') 35
('uj', 'n', 'n') 35
('uj', 'n', 'c') 34
('r', 'v', 'ul') 34
('v', 'n', 'n') 34
('c', 'r', 'v') 33
('r', 'd', 'd') 32
('n', 'r', 'v') 31
('uj', 'n', 'p') 31
('n', 'n', 'v') 31
('uj', 'n', 'r') 30
('v', 'n', 'd') 29
('n', 'p', 'n') 29
('d', 'v', 'm') 28
('n', 'c', 'v') 27
('n', 'n', 'uj') 25
('d', 'uj', 'n') 25
('v', 'ul', 'r') 25
('r', 'v', 'uj') 24
('r', 'r', 'v') 24
('uj', 'n', 'f') 23
('n', 'p', 'r') 23
('v', 'p', 'r') 23
('v', 'ul', 'n') 22
('v', 'n', 'c') 22
('v', 'n', 'r') 22
('v', 'v', 'ul') 22
('r', 'n', 'v') 22
('n', 'uj', 'v') 21
('p', 'r', 'v') 21
('n', 'c', 'r') 21
('r', 'v', 'm') 21
('r', 'v', 'd') 21
('n', 'd', 'd') 20
('n', 'r', 'd') 20
('n', 'v', 'ul') 20
('p', 'r', 'uj') 19
('r', 'n', 'uj') 19
('n', 'v', 'd') 19
('d', 'v', 'p') 19
('n', 'f', 'v') 19
('v', 'd', 'uj') 19
('d', 'v', 'd') 19
('v', 'm', 'v') 19
('c', 'v', 'v') 18
('v', 'v', 'm') 18
('v', 'c', 'r') 18
('v', 'v', 'd') 18
('m', 'n', 'v') 18
('ul', 'm', 'n') 18
('m', 'm', 'm') 18
('p', 'r', 'n') 18
('v', 'p', 'n') 17
('n', 'n', 'd') 17
('m', 'd', 'v') 17
('v', 'r', 'r') 17
('m', 'n', 'uj') 17
('r', 'r', 'd') 16
('c', 'd', 'v') 16
('n', 'v', 'uj') 16
('uj', 'a', 'n') 16
('d', 'c', 'v') 15
('r', 'c', 'v') 15
('n', 'n', 'n') 15
('m', 'v', 'v') 15
('n', 'd', 'p') 15
('n', 'm', 'v') 15
('v', 'r', 'c') 15
('f', 'uj', 'n') 14
('c', 'v', 'r') 14
('r', 'uj', 'v') 14
('r', 'v', 'p') 14
('v', 'uj', 'v') 13
('v', 'ul', 'v') 13
('p', 'n', 'v') 13
('r', 'a', 'uj') 13
('v', 'v', 'p') 12
('v', 'm', 'a') 12
('n', 'v', 'p') 12
('m', 'v', 'n') 12
('n', 'c', 'd') 12
('v', 'a', 'uj') 12
('r', 'm', 'n') 12
('d', 'v', 'c') 12
('v', 'r', 'p') 12
('p', 'n', 'n') 12
('v', 't', 'v') 12
('uj', 'v', 'n') 12
('d', 'r', 'v') 12
('c', 'p', 'r') 12
('d', 'a', 'uj') 12
('c', 'v', 'n') 12
('d', 'p', 'n') 11
('p', 'n', 'f') 11
('d', 'v', 'uj') 11
('v', 'v', 'c') 11
('uj', 'n', 'm') 11
('v', 'm', 'r') 11
('v', 'r', 'a') 11
('n', 'v', 'm') 11
('m', 'uj', 'n') 11
('p', 'r', 'r') 11
('i', 'uj', 'n') 10
('a', 'uj', 'v') 10
('t', 'uj', 'n') 10
('v', 'd', 'd') 10
('uj', 'v', 'v') 10
('uj', 'v', 'r') 10
('d', 'p', 'r') 10
('c', 'c', 'r') 9
('c', 'n', 'd') 9
('v', 'n', 'f') 9
('d', 'r', 'd') 9
('v', 'n', 'ul') 9
('r', 'p', 'r') 9
('r', 'd', 'n') 9
('v', 'uj', 'a') 9
('n', 'd', 'a') 9
('v', 'n', 'p') 9
('ad', 'v', 'r') 9
('v', 'c', 'v') 9
('c', 'd', 'd') 9
('f', 'r', 'v') 9
('u', 'v', 'uj') 9
('uv', 'v', 'n') 9
('m', 'r', 'v') 9
('d', 'v', 'zg') 9
('d', 'd', 'd') 9
('n', 'f', 'r') 9
('uj', 'n', 'y') 9
('r', 'u', 'v') 9
('p', 'n', 'uj') 9
('m', 'n', 'd') 9
('n', 'f', 'n') 9
('p', 'm', 'n') 9
('l', 'uj', 'n') 9
('d', 'n', 'v') 8
('ul', 'm', 'd') 8
('v', 'ad', 'v') 8
('n', 'v', 'c') 8
('n', 'f', 'uj') 8
('n', 'p', 'v') 8
('v', 'p', 'v') 8
('m', 'a', 'uj') 8
('ul', 'r', 'n') 8
('m', 'v', 'm') 8
('n', 'n', 'p') 8
('v', 'm', 'm') 8
('r', 'c', 'r') 8
('r', 'n', 'd') 8
('n', 'r', 'n') 8
('r', 'd', 'r') 8
('uj', 'v', 'c') 8
('n', 'd', 'r') 8
('v', 'i', 'uj') 8
('d', 'v', 'a') 8
('n', 'r', 'uj') 8
('r', 'v', 'a') 8
('uj', 'n', 'uj') 8
('v', 'r', 't') 8
('n', 'uj', 'd') 8
('c', 'v', 'uj') 8
('v', 'uj', 'c') 8
('m', 'n', 'p') 8
('p', 'v', 'r') 8
('c', 'v', 'd') 8
('v', 'm', 'd') 8
('n', 'd', 'c') 8
('d', 'ad', 'v') 8
('d', 'p', 'v') 8
('d', 'd', 'a') 7
('uj', 'n', 'ul') 7
('c', 'v', 'ul') 7
('t', 'v', 'n') 7
('m', 'r', 'd') 7
('v', 'c', 'n') 7
('n', 'p', 'm') 7
('uv', 'v', 'r') 7
('c', 'r', 'r') 7
('f', 'v', 'r') 7
('d', 'd', 'r') 7
('v', 'v', 'a') 7
('r', 'n', 'n') 7
('uj', 'v', 'd') 7
('r', 'd', 'a') 7
('nr', 'r', 'd') 7
('v', 'd', 'a') 7
('r', 'd', 'p') 7
('t', 'v', 'v') 7
('r', 't', 'v') 7
('c', 'p', 'n') 7
('m', 'v', 'uj') 7
('i', 'uv', 'v') 7
('r', 'v', 'c') 7
('uv', 'v', 'ul') 7
('c', 'v', 'm') 7
('b', 'uj', 'n') 7
('n', 'uj', 'a') 6
('p', 'r', 'c') 6
('t', 'r', 'v') 6
('n', 'nr', 'd') 6
('m', 'v', 'd') 6
('a', 'v', 'r') 6
('n', 'm', 'd') 6
('d', 'v', 'i') 6
('uj', 'n', 'zg') 6
('r', 'n', 'r') 6
('uj', 'n', 'nr') 6
('a', 'v', 'n') 6
('t', 'v', 'uj') 6
('v', 'ul', 'c') 6
('n', 'm', 'n') 6
('r', 'd', 'c') 6
('d', 'uv', 'v') 6
('d', 'd', 'p') 6
('n', 'ul', 'm') 6
('u', 'r', 'v') 6
('n', 'a', 'v') 6
('ul', 'r', 'm') 6
('d', 'a', 'v') 6
('ad', 'v', 'uj') 6
('v', 'uj', 'r') 6
('r', 'm', 'v') 6
('a', 'uv', 'v') 6
('p', 'd', 'uj') 6
('v', 'r', 'u') 6
('n', 'ad', 'v') 6
('r', 't', 'd') 6
('n', 'zg', 'n') 6
('r', 'c', 'n') 6
('n', 'c', 'n') 6
('p', 'r', 'a') 6
('m', 'n', 'r') 6
('uj', 'r', 'v') 6
('r', 'n', 'c') 6
('n', 'uv', 'v') 6
('c', 'r', 'n') 6
('uv', 'v', 'v') 6
('nr', 'r', 'v') 6
('c', 'n', 'v') 6
('ul', 'c', 'r') 6
('p', 'r', 'd') 6
('d', 'n', 'ul') 5
('p', 'v', 'ul') 5
('a', 'v', 'uj') 5
('v', 'l', 'uj') 5
('d', 'p', 'm') 5
('r', 'v', 'u') 5
('p', 'r', 'm') 5
('d', 'c', 'n') 5
('r', 'p', 'm') 5
('v', 'd', 'n') 5
('t', 'd', 'v') 5
('d', 'v', 'q') 5
('n', 'v', 'f') 5
('n', 'f', 'd') 5
('d', 'c', 'r') 5
('p', 'n', 'p') 5
('d', 'n', 'uj') 5
('n', 'c', 'c') 5
('v', 'q', 'v') 5
('a', 'n', 'v') 5
('m', 'n', 'a') 5
('r', 'd', 'uj') 5
('v', 'f', 'r') 5
('r', 'a', 'v') 5
('uv', 'p', 'r') 5
('m', 'n', 'f') 5
('v', 'zg', 'v') 5
('v', 'd', 'c') 5
('n', 'v', 't') 5
('ul', 'm', 'v') 5
('v', 'ul', 'd') 5
('a', 'n', 'p') 5
('v', 'a', 'n') 5
('v', 'r', 'ns') 5
('p', 'm', 'v') 5
('c', 'v', 'p') 5
('d', 'a', 'ul') 5
('c', 'r', 'uj') 5
('uj', 'n', 'yg') 5
('n', 'n', 'c') 5
('v', 'n', 'y') 5
('a', 'v', 'v') 5
('v', 'n', 'zg') 5
('ad', 'v', 'n') 5
('p', 'n', 'd') 5
('ad', 'v', 'v') 5
('v', 'ul', 'q') 5
('x', 'x', 'm') 5
('uj', 'n', 'i') 5
('n', 'v', 'zg') 5
('v', 'v', 'zg') 5
('r', 'p', 'v') 5
('f', 'v', 'n') 5
('f', 'v', 'ul') 5
('v', 'v', 't') 5
('v', 'a', 'v') 5
('m', 'n', 'n') 5
('d', 'v', 't') 5
('v', 'n', 'u') 5
('v', 'c', 'd') 5
('c', 'v', 'c') 5
('d', 'v', 'y') 5
('n', 'd', 'n') 5
('v', 't', 'uj') 5
('uj', 'm', 'n') 5
('f', 'r', 'd') 5
('n', 'yg', 'v') 5
('v', 'q', 'n') 4
('n', 'nr', 'r') 4
('v', 'n', 'a') 4
('c', 'n', 'n') 4
('zg', 'm', 'n') 4
('c', 'n', 'c') 4
('zg', 'a', 'uj') 4
('r', 'd', 'uv') 4
('m', 'v', 'r') 4
('m', 'n', 'm') 4
('z', 'uj', 'n') 4
('n', 'nr', 'v') 4
('r', 'v', 'uv') 4
('c', 't', 'v') 4
('p', 'n', 'nr') 4
('uj', 'n', 'a') 4
('n', 't', 'v') 4
('p', 'n', 'c') 4
('c', 'r', 'm') 4
('v', 'u', 'r') 4
('v', 'p', 'a') 4
('r', 'c', 'd') 4
('p', 'v', 'v') 4
('ul', 'p', 'r') 4
('n', 'yg', 'r') 4
('n', 'p', 'vn') 4
('zg', 'v', 'uj') 4
('m', 'm', 'n') 4
('ul', 'r', 'v') 4
('a', 'n', 'r') 4
('d', 'v', 'l') 4
('v', 'm', 'nr') 4
('v', 'r', 'm') 4
('d', 'r', 'uj') 4
('v', 'm', 'c') 4
('ad', 'uv', 'v') 4
('c', 'r', 'c') 4
('yg', 'v', 'n') 4
